Week,Team,Owner,Opponent,Player,Position,Slot,Points,Started,Is_Zero,Is_Zero_Start,Is_Bad_Start
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Saquon Barkley,RB,RB,18.4,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Tee Higgins,WR,WR,6.3,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Bucky Irving,RB,RB,14.5,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,George Kittle,TE,TE,12.5,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,James Cook III,RB,RB/WR/TE,21.2,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Zay Flowers,WR,WR,28.1,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,George Pickens,WR,BE,6.0,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Rashee Rice,WR,BE,0.0,False,True,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Kyler Murray,QB,QB,18.32,True,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,RJ Harvey,RB,BE,7.9,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Austin Ekeler,RB,BE,8.7,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Dalton Kincaid,TE,BE,14.8,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Stefon Diggs,WR,BE,11.7,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Lions D/ST,D/ST,D/ST,2.0,True,False,False,True
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Zach Charbonnet,RB,BE,10.7,False,False,False,False
1,Start Diggs in yo butt twin,Rowdog7401,Aidan’s Maidens,Younghoe Koo,K,K,8.0,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Christian McCaffrey,RB,RB,23.2,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Tyreek Hill,WR,WR,8.0,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Breece Hall,RB,RB,16.5,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Davante Adams,WR,WR,9.1,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,DeVonta Smith,WR,RB/WR/TE,4.6,True,False,False,True
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Joe Burrow,QB,QB,8.82,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Mark Andrews,TE,TE,1.5,True,False,False,True
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Isiah Pacheco,RB,BE,4.8,False,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Tank Dell,WR,BE,0.0,False,True,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Rachaad White,RB,BE,2.6,False,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Jordan Addison,WR,BE,0.0,False,True,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Zack Moss,RB,BE,0.0,False,True,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Gabe Davis,WR,BE,0.0,False,True,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Commanders D/ST,D/ST,D/ST,8.0,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Jake Elliott,K,K,8.0,True,False,False,False
1,Aidan’s Maidens,Aidan4Miller,Start Diggs in yo butt twin,Ty Chandler,RB,BE,0.0,False,True,False,False
1,Njigbas in Paris ,devenchat ,Tyler's Top Team,Jahmyr Gibbs,RB,RB,15.0,True,False,False,False
1,Njigbas in Paris ,devenchat ,Tyler's Top Team,A.J. Brown,WR,WR,1.8,True,False,False,True
