team,owner,player,position,games_played,points_total,avg_points,rushing_attempts_total,avg_rushing_yards,rushing_yards_total,rushing_yards_per_attempt,receptions_total,targets_total,receiving_TDs_total,avg_receiving_yards,receiving_yards_total,yards_per_reception,yards_after_catch_total
Lamar Jack0ff,Chazdawg01,CeeDee Lamb,WR,14,200.9,14.35,1.0,0.14285714,2.0,2.0,75.0,117.0,3.0,76.92857143,1077.0,14.36,323.0
Lamar Jack0ff,Chazdawg01,Puka Nacua,WR,16,375.0,23.44,10.0,6.5625,105.0,10.5,129.0,166.0,10.0,107.1875,1715.0,13.29457364,666.0
Lamar Jack0ff,Chazdawg01,Trey McBride,TE,17,315.9,18.58,0.0,0.0,0.0,0.0,126.0,169.0,11.0,72.88235294,1239.0,9.83333333,583.0
Lamar Jack0ff,Chazdawg01,Lamar Jackson,QB,13,214.86,16.53,67.0,26.84615385,349.0,5.20895522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jack0ff,Chazdawg01,Brian Thomas Jr.,WR,14,138.8,9.91,3.0,1.5,21.0,7.0,48.0,91.0,2.0,50.5,707.0,14.72916667,159.0
Lamar Jack0ff,Chazdawg01,D'Andre Swift,RB,16,228.6,14.29,223.0,67.9375,1087.0,4.87443946,34.0,48.0,1.0,18.6875,299.0,8.79411765,357.0
Lamar Jack0ff,Chazdawg01,DK Metcalf,WR,15,187.2,12.48,2.0,0.8,12.0,6.0,59.0,99.0,6.0,56.66666667,850.0,14.40677966,414.0
Lamar Jack0ff,Chazdawg01,Aaron Jones Sr.,RB,12,118.7,9.89,132.0,45.66666667,548.0,4.15151515,28.0,41.0,1.0,16.58333333,199.0,7.10714286,227.0
Lamar Jack0ff,Chazdawg01,Rome Odunze,WR,12,146.1,12.18,0.0,0.0,0.0,0.0,44.0,90.0,6.0,55.08333333,661.0,15.02272727,214.0
Lamar Jack0ff,Chazdawg01,Javonte Williams,RB,15,242.8,15.18,252.0,75.0625,1125.94,4.76587302,35.0,51.0,2.0,8.5625,128.44,3.91428571,206.0
Lamar Jack0ff,Chazdawg01,Keenan Allen,WR,17,182.7,10.75,0.0,0.0,0.0,0.0,81.0,122.0,4.0,45.70588235,777.0,9.59259259,231.0
Lamar Jack0ff,Chazdawg01,Dak Prescott,QB,16,313.78,18.46,53.0,10.41176471,166.59,3.33962264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jack0ff,Chazdawg01,Rashee Rice,WR,8,150.1,18.76,5.0,2.5,20.0,4.0,53.0,78.0,5.0,71.375,571.0,10.77358491,414.0
Lamar Jack0ff,Chazdawg01,Kyle Monangai,RB,17,146.7,8.63,169.0,46.05882353,783.0,4.63313609,18.0,30.0,0.0,9.64705882,164.0,9.11111111,162.0
Lamar Jack0ff,Chazdawg01,Chris Boswell,K,17,147.0,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jack0ff,Chazdawg01,Patriots D/ST,D/ST,17,133.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jack0ff,Chazdawg01,Omarion Hampton,RB,9,135.7,15.08,124.0,60.55555556,545.0,4.39516129,32.0,35.0,1.0,21.33333333,192.0,6.0,245.0
Start Diggs in yo butt twin,Rowdog7401,Saquon Barkley,RB,16,232.3,14.52,280.0,71.25,1140.0,4.07142857,37.0,50.0,2.0,17.0625,273.0,7.37837838,296.0
Start Diggs in yo butt twin,Rowdog7401,Tee Higgins,WR,15,211.6,14.11,0.0,0.0,0.0,0.0,59.0,98.0,11.0,56.4,846.0,14.33898305,166.0
Start Diggs in yo butt twin,Rowdog7401,Bucky Irving,RB,10,138.5,13.85,173.0,58.8,588.0,3.39884393,30.0,35.0,3.0,27.7,277.0,9.23333333,360.0
Start Diggs in yo butt twin,Rowdog7401,George Kittle,TE,11,161.5,14.68,1.0,-0.27272727,-3.0,-3.0,57.0,69.0,7.0,57.09090909,628.0,11.01754386,252.0
Start Diggs in yo butt twin,Rowdog7401,James Cook III,RB,17,302.2,17.78,309.0,95.35294118,1621.0,5.24595469,33.0,40.0,2.0,17.11764706,291.0,8.81818182,272.0
Start Diggs in yo butt twin,Rowdog7401,Zay Flowers,WR,17,243.3,14.31,10.0,3.64705882,62.0,6.2,86.0,118.0,5.0,71.23529412,1211.0,14.08139535,458.0
Start Diggs in yo butt twin,Rowdog7401,George Pickens,WR,16,291.9,17.17,0.0,0.0,0.0,0.0,93.0,137.0,9.0,84.05882353,1344.94,15.3655914,479.0
Start Diggs in yo butt twin,Rowdog7401,Dalton Kincaid,TE,12,126.1,10.51,0.0,0.0,0.0,0.0,39.0,49.0,5.0,47.58333333,571.0,14.64102564,259.0
Start Diggs in yo butt twin,Rowdog7401,Stefon Diggs,WR,17,210.3,12.37,0.0,0.0,0.0,0.0,85.0,102.0,4.0,59.58823529,1013.0,11.91764706,354.0
Start Diggs in yo butt twin,Rowdog7401,Lions D/ST,D/ST,17,91.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
