Week,Home_Team,Home_Score,Away_Team,Away_Score,Winner
1,Start Diggs in yo butt twin,129.32,Aidan’s Maidens,87.72,Start Diggs in yo butt twin
1,Njigbas in Paris ,126.62,Tyler's Top Team,134.42,Tyler's Top Team
1,The Super Soakers,128.16,Steam rivers ,69.58,The Super Soakers
1,TOBENATORS,94.58,Lamar Jack0ff,125.46,Lamar Jack0ff
2,Aidan’s Maidens,96.74,Tyler's Top Team,104.98,Tyler's Top Team
2,Steam rivers ,141.94,Start Diggs in yo butt twin,127.2,Steam rivers 
2,Lamar Jack0ff,134.9,Njigbas in Paris ,100.3,Lamar Jack0ff
2,TOBENATORS,134.28,The Super Soakers,98.82,TOBENATORS
3,Steam rivers ,129.84,Aidan’s Maidens,146.02,Aidan’s Maidens
3,Tyler's Top Team,103.86,Lamar Jack0ff,122.62,Lamar Jack0ff
3,Start Diggs in yo butt twin,116.96,TOBENATORS,91.44,Start Diggs in yo butt twin
3,Njigbas in Paris ,139.42,The Super Soakers,113.22,Njigbas in Paris 
4,Aidan’s Maidens,138.08,Lamar Jack0ff,135.38,Aidan’s Maidens
4,TOBENATORS,127.32,Steam rivers ,101.9,TOBENATORS
4,The Super Soakers,138.26,Tyler's Top Team,166.9,Tyler's Top Team
4,Njigbas in Paris ,104.86,Start Diggs in yo butt twin,140.08,Start Diggs in yo butt twin
5,TOBENATORS,110.34,Aidan’s Maidens,134.02,Aidan’s Maidens
5,Lamar Jack0ff,139.28,The Super Soakers,168.34,The Super Soakers
5,Steam rivers ,162.7,Njigbas in Paris ,120.34,Steam rivers 
5,Tyler's Top Team,66.22,Start Diggs in yo butt twin,108.18,Start Diggs in yo butt twin
6,Aidan’s Maidens,80.24,The Super Soakers,107.4,The Super Soakers
6,Njigbas in Paris ,126.34,TOBENATORS,93.44,Njigbas in Paris 
6,Start Diggs in yo butt twin,87.28,Lamar Jack0ff,103.76,Lamar Jack0ff
6,Tyler's Top Team,144.58,Steam rivers ,147.02,Steam rivers 
7,Njigbas in Paris ,137.34,Aidan’s Maidens,155.68,Aidan’s Maidens
7,The Super Soakers,86.66,Start Diggs in yo butt twin,86.62,The Super Soakers
7,TOBENATORS,150.78,Tyler's Top Team,75.94,TOBENATORS
7,Lamar Jack0ff,148.36,Steam rivers ,150.24,Steam rivers 
8,Aidan’s Maidens,95.46,Start Diggs in yo butt twin,142.58,Start Diggs in yo butt twin
8,Tyler's Top Team,49.36,Njigbas in Paris ,125.38,Njigbas in Paris 
8,Steam rivers ,114.86,The Super Soakers,121.52,The Super Soakers
8,Lamar Jack0ff,111.02,TOBENATORS,112.18,TOBENATORS
9,Tyler's Top Team,78.6,Aidan’s Maidens,143.54,Aidan’s Maidens
9,Start Diggs in yo butt twin,113.48,Steam rivers ,98.42,Start Diggs in yo butt twin
9,Njigbas in Paris ,90.32,Lamar Jack0ff,148.06,Lamar Jack0ff
9,The Super Soakers,130.2,TOBENATORS,131.0,TOBENATORS
10,Aidan’s Maidens,137.2,Steam rivers ,161.62,Steam rivers 
10,Lamar Jack0ff,117.04,Tyler's Top Team,97.4,Lamar Jack0ff
10,TOBENATORS,150.68,Start Diggs in yo butt twin,101.6,TOBENATORS
10,The Super Soakers,123.94,Njigbas in Paris ,132.32,Njigbas in Paris 
11,Lamar Jack0ff,102.22,Aidan’s Maidens,91.2,Lamar Jack0ff
11,Steam rivers ,136.9,TOBENATORS,82.94,Steam rivers 
11,Tyler's Top Team,108.84,The Super Soakers,129.68,The Super Soakers
11,Start Diggs in yo butt twin,129.54,Njigbas in Paris ,133.42,Njigbas in Paris 
12,Aidan’s Maidens,142.22,TOBENATORS,154.16,TOBENATORS
12,The Super Soakers,89.82,Lamar Jack0ff,111.42,Lamar Jack0ff
12,Njigbas in Paris ,204.46,Steam rivers ,98.16,Njigbas in Paris 
12,Start Diggs in yo butt twin,92.9,Tyler's Top Team,119.08,Tyler's Top Team
13,The Super Soakers,110.62,Aidan’s Maidens,114.72,Aidan’s Maidens
13,TOBENATORS,114.18,Njigbas in Paris ,143.74,Njigbas in Paris 
13,Lamar Jack0ff,146.34,Start Diggs in yo butt twin,80.84,Lamar Jack0ff
13,Steam rivers ,131.2,Tyler's Top Team,124.24,Steam rivers 
14,Lamar Jack0ff,273.44,TOBENATORS,299.66,TOBENATORS
14,Njigbas in Paris ,286.28,Steam rivers ,238.9,Njigbas in Paris 
14,Aidan’s Maidens,213.86,The Super Soakers,239.36,The Super Soakers
14,Start Diggs in yo butt twin,202.6,Tyler's Top Team,205.06,Tyler's Top Team
15,Njigbas in Paris ,260.34,TOBENATORS,301.94,TOBENATORS
15,Lamar Jack0ff,244.72,Steam rivers ,238.5,Lamar Jack0ff
15,The Super Soakers,196.38,Tyler's Top Team,218.4,Tyler's Top Team
15,Aidan’s Maidens,209.44,Start Diggs in yo butt twin,182.2,Aidan’s Maidens
